"650","","REBOUND","",""
"633","","","",""
"368","","","",""
"561","","LAY IT DOWN","",""
"487","DYMOND","","",""
"1279","","","",""
"1276","","","",""
"1998","","","",""
"1900","","","",""
"381","BABY BASH","CYCLONE","ARISTA/SONY MUSIC","705784 "
"1075","PAULA DEANDA","PAULA DEANDA [BONUS TRACKS]","BMG/ARISTA/SONY MUSIC","24105 "
"1673","BABY BASH","SMOKING NEPHEW","Universal Music Group",""
"403","","","",""
"96","","","",""
"394","","","",""
"583","CHUCK D","GENERATION WRECKKKED","Universal Music Group","314532944-1/2/4"
"21","PETEY PABLO","919","Sony Music Entertainment, Inc.","124142937"
"21","PETEY PABLO","919","Sony Music Entertainment, Inc.","124141774"
"921","PUBLIC ENEMY","IS YOUR GOD A DOG","Universal Music Group","314558131"
"1715","PUBLIC ENEMY","SUPER AGENT","Universal Music Group","314 558 130"
"226","PUBLIC ENEMY","BRING THAT BEAT BACK","SLAM JAMMZ / REACH GLOBAL","1005"
"1743","CHUCK D","TALK SHOW CREATED THE FOOL","Universal Music Group","314532944-1/2/4"
"583","CHUCK D","GENERATION WRECKKKED","Universal Music Group","314 553 4522-1/2/4"
"1529","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"1713","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"1801","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"471","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"37","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"1853","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"1853","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
"368","TANIQ","LIFE & TIMES OF LOVE","CRAZIATIC RECORDS [INDEPENDENT RELEASE]","07020"
